order_item_id,order_id,product_id,quantity
1,1,1,1
2,1,7,2
3,2,3,1
4,2,5,1
5,3,8,1
6,4,2,1
7,5,6,3
8,6,4,1
9,7,10,1
10,8,12,2
11,9,15,3
12,10,9,1
13,11,11,1
14,12,13,1
15,13,14,2
16,14,16,1
17,15,17,1
18,16,18,2
19,17,19,1
20,18,20,1
21,19,1,1
22,20,5,2
23,1,1,1
24,1,7,2
25,2,3,1
26,2,5,1
27,3,8,1
28,4,2,1
29,5,6,3
30,6,4,1
31,7,10,1
32,8,12,2
33,9,15,3
34,10,9,1
35,11,11,1
36,12,13,1
37,13,14,2
38,14,16,1
39,15,17,1
40,16,18,2
41,17,19,1
42,18,20,1
43,19,1,1
44,20,5,2
45,1,1,1
46,1,7,2
47,2,3,1
48,2,5,1
49,3,8,1
50,4,2,1
51,5,6,3
52,6,4,1
53,7,10,1
54,8,12,2
55,9,15,3
56,10,9,1
57,11,11,1
58,12,13,1
59,13,14,2
60,14,16,1
61,15,17,1
62,16,18,2
63,17,19,1
64,18,20,1
65,19,1,1
66,20,5,2
67,1,1,1
68,1,7,2
69,2,3,1
70,2,5,1
71,3,8,1
72,4,2,1
73,5,6,3
74,6,4,1
75,7,10,1
76,8,12,2
77,9,15,3
78,10,9,1
79,11,11,1
80,12,13,1
81,13,14,2
82,14,16,1
83,15,17,1
84,16,18,2
85,17,19,1
86,18,20,1
87,19,1,1
88,20,5,2
89,1,1,1
90,1,7,2
91,2,3,1
92,2,5,1
93,3,8,1
94,4,2,1
95,5,6,3
96,6,4,1
97,7,10,1
98,8,12,2
99,9,15,3
100,10,9,1
101,11,11,1
102,12,13,1
103,13,14,2
104,14,16,1
105,15,17,1
106,16,18,2
107,17,19,1
108,18,20,1
109,19,1,1
110,20,5,2
111,1,1,1
112,1,7,2
113,2,3,1
114,2,5,1
115,3,8,1
116,4,2,1
117,5,6,3
118,6,4,1
119,7,10,1
120,8,12,2
121,9,15,3
122,10,9,1
123,11,11,1
124,12,13,1
125,13,14,2
126,14,16,1
127,15,17,1
128,16,18,2
129,17,19,1
130,18,20,1
131,19,1,1
132,20,5,2
